0.86,0.84,0.86,0.86,0.87,0.85,0.86,0.86,0.86,0.89
0.76,0.71,0.76,0.76,0.76,0.72,0.78,0.76,0.76,0.82
0.78,0.77,0.78,0.78,0.78,0.78,0.78,0.78,0.79,0.81
0.85,0.83,0.84,0.83,0.86,0.83,0.84,0.83,0.84,0.86
0.69,0.69,0.74,0.76,0.73,0.7,0.74,0.76,0.71,0.75
0.5,0.39,0.38,0.39,0.55,0.42,0.42,0.39,0.38,0.42
0.75,0.76,0.72,0.75,0.75,0.76,0.72,0.76,0.75,0.76
0.72,0.62,0.62,0.54,0.84,0.64,0.64,0.54,0.54,0.54
0.78,0.76,0.83,0.83,0.79,0.77,0.84,0.83,0.83,0.86
0.84,0.79,0.84,0.85,0.84,0.79,0.84,0.85,0.85,0.86
0.85,0.84,0.86,0.85,0.86,0.85,0.87,0.85,0.87,0.89
0.94,0.99,0.99,0.99,0.96,0.99,0.99,0.99,0.83,0.89
0.92,0.9,0.92,0.93,0.92,0.91,0.92,0.93,0.81,0.89
0.95,0.94,0.95,0.94,0.95,0.94,0.95,0.94,0.95,0.96
0.88,0.99,0.88,0.9,0.88,0.99,0.89,0.9,0.86,0.92
0.94,0.85,0.94,0.95,0.96,0.86,0.95,0.96,0.93,0.96
0.63,0.63,0.63,0.63,0.63,0.63,0.64,0.63,0.63,0.63
0.72,0.75,0.83,0.86,0.77,0.76,0.84,0.86,0.77,0.84
0.75,0.82,0.75,1,0.75,0.82,0.75,1,1,1
0.62,0.67,0.66,0.65,0.63,0.68,0.66,0.65,0.6,0.67
0.96,0.99,0.96,0.97,0.96,0.99,0.96,0.97,0.98,0.99
0.9,0.96,0.9,0.93,0.9,0.96,0.9,0.93,0.91,0.93
0.94,0.96,0.94,0.97,0.94,0.96,0.94,0.97,0.59,0.7
0.9,0.85,0.9,0.98,0.93,0.86,0.91,0.98,0.21,0.28
0.88,0.88,0.89,0.65,0.89,0.88,0.89,0.65,0.63,0.7
0.93,0.95,0.93,0.96,0.93,0.95,0.93,0.96,0.36,0.45
0.83,0.9,0.89,0.88,0.85,0.9,0.89,0.88,0.85,0.87
0.77,0.89,0.89,0.86,0.81,0.89,0.9,0.86,0.84,0.87
0.92,0.98,0.97,0.94,0.94,0.98,0.97,0.95,0.95,0.96
0.85,0.77,0.85,0.86,0.86,0.78,0.85,0.86,0.84,0.88
0.5,0.47,0.46,0.43,0.55,0.47,0.55,0.44,0.44,0.44
0.81,0.75,0.81,0.86,0.81,0.76,0.81,0.86,0.68,0.79
0.56,0.71,0.73,0.74,0.67,0.71,0.74,0.74,0.72,0.8
0.99,0.94,0.99,0.98,0.99,0.95,0.99,0.98,0.92,0.95
0.6,0.59,0.59,0.6,0.6,0.6,0.59,0.6,0.59,0.61
0.91,0.95,0.97,0.96,0.93,0.95,0.97,0.97,0.66,0.72
0.7,0.99,0.98,0.99,0.8,0.99,0.98,0.99,0.44,0.53
